date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2019-01-15,,,,,1324.7830000000001,5.0,,,,,,218.0,
2019-01-16,,167.878,12.0,,1402.208,13.0,98.0,,,,65.0,8283.0,
2019-01-17,,,,,1314.6480000000001,3.0,,,,,,2601.0,
2019-01-18,,531.225,62.0,,1409.061,19.0,205.0,,,,63.0,13969.0,
2019-01-19,,0.087,,,1314.842,1.0,,,,,,3870.0,
2019-01-20,,241.296,10.0,,1423.815,2.0,98.0,,,,58.0,5834.0,
2019-01-21,,698.7379999999999,104.0,,1506.018,9.0,138.359,,,,70.0,15718.0,
2019-01-22,,11.818999999999999,,,1346.731,7.0,,,,,,4176.0,
2019-01-23,,402.065,52.0,,1367.935,15.0,170.0,,,,74.0,11647.0,
2019-01-24,,31.987,5.0,,1335.732,2.0,170.0,,,,,30039.0,
2019-01-25,,380.298,67.0,,1335.293,7.0,129.254,,,,70.0,7244.0,
2019-01-26,,360.382,66.0,,1356.961,,140.556,,,,,6303.0,
2019-01-27,,,,,1314.6480000000001,6.0,,,,,,4246.0,
2019-01-28,,457.776,52.0,,1427.569,15.0,163.153,,,,61.0,12129.0,
2019-01-29,,1.218,1.0,,1300.961,7.0,,,,,,4339.0,
2019-01-30,,,,,1283.767,8.0,,,,,,5384.0,
2019-01-31,,,,,1309.968,3.0,,,,,,4609.0,
2019-02-01,,,,,1309.968,4.0,,,,,,5961.0,
2019-02-02,,226.673,15.0,,1477.914,3.0,122.0,,,,55.0,10397.0,
2019-02-03,,337.053,21.0,,1448.384,,92.0,,,,62.0,13836.0,
2019-02-04,,647.677,120.0,,1393.444,18.0,155.0,,,,,13837.0,
2019-02-05,,187.488,12.0,,1409.802,9.0,110.0,,,,57.0,6414.0,
2019-02-06,,377.14,53.0,,1312.432,15.0,175.0,,,,68.0,11637.0,
2019-02-07,,31.817,1.0,,1389.462,5.0,122.0,,,,,4633.0,
2019-02-08,,428.342,55.0,,1373.977,19.0,149.852,,,,56.0,15757.0,
2019-02-09,,0.074,,,1337.253,2.0,,,,,,6967.0,
2019-02-10,,0.136,,,1274.191,8.0,,,,,,6182.0,
2019-02-11,,,,,1309.968,3.0,,,,,,3731.0,
2019-02-12,,43.665,8.0,,1377.07,10.0,126.0,,,,,5014.0,
2019-02-13,,138.499,8.0,,1405.801,14.0,116.0,,,,,5583.0,
2019-02-14,,165.554,9.0,,1415.686,1.0,,,,,,2438.0,
2019-02-15,,332.768,40.0,,1350.156,,144.0,,,,72.0,9772.0,
2019-02-16,,128.427,4.0,,1377.523,,96.0,,,,,9181.0,
2019-02-17,,,,,1300.459,,,,,,,5556.0,
2019-02-18,,,,,1309.968,4.0,,,,,,3960.0,
